TOTAL ELEMENTS: 
2048
BST search total time: series 2, i: 9, time: 0.1693750023841858}, IS_SORTED: false
BST search avg time: series 2, i: 9, time: 0.0001693750023841858}, IS_SORTED: false
AVL search total time: series 2, i: 10, time: 0.16929197311401367}, IS_SORTED: true
AVL search avg time: series 2, i: 10, time: 0.00016929197311401367}, IS_SORTED: true
BST search total time: series 2, i: 10, time: 8.946874976158142}, IS_SORTED: true
BST search avg time: series 2, i: 10, time: 0.008946874976158143}, IS_SORTED: true
AVL search total time: series 2, i: 11, time: 0.16575002670288086}, IS_SORTED: true
AVL search avg time: series 2, i: 11, time: 0.00016575002670288086}, IS_SORTED: true
BST search total time: series 2, i: 11, time: 9.13404095172882}, IS_SORTED: true
BST search avg time: series 2, i: 11, time: 0.00913404095172882}, IS_SORTED: true
AVL search total time: series 2, i: 12, time: 0.16704100370407104}, IS_SORTED: true
AVL search avg time: series 2, i: 12, time: 0.00016704100370407106}, IS_SORTED: true
BST search total time: series 2, i: 12, time: 8.850666999816895}, IS_SORTED: true
BST search avg time: series 2, i: 12, time: 0.008850666999816894}, IS_SORTED: true
AVL search total time: series 2, i: 13, time: 0.2872500419616699}, IS_SORTED: true
AVL search avg time: series 2, i: 13, time: 0.00028725004196166994}, IS_SORTED: true
BST search total time: series 2, i: 13, time: 9.770874977111816}, IS_SORTED: true
BST search avg time: series 2, i: 13, time: 0.009770874977111816}, IS_SORTED: true
AVL search total time: series 2, i: 14, time: 0.11920803785324097}, IS_SORTED: true
AVL search avg time: series 2, i: 14, time: 0.00011920803785324097}, IS_SORTED: true
BST search total time: series 2, i: 14, time: 9.9356250166893}, IS_SORTED: true
BST search avg time: series 2, i: 14, time: 0.009935625016689301}, IS_SORTED: true
AVL search total time: series 2, i: 15, time: 0.12479203939437866}, IS_SORTED: true
AVL search avg time: series 2, i: 15, time: 0.00012479203939437866}, IS_SORTED: true
BST search total time: series 2, i: 15, time: 9.861124992370605}, IS_SORTED: true
BST search avg time: series 2, i: 15, time: 0.009861124992370605}, IS_SORTED: true
AVL search total time: series 2, i: 16, time: 0.12054097652435303}, IS_SORTED: true
AVL search avg time: series 2, i: 16, time: 0.00012054097652435303}, IS_SORTED: true
BST search total time: series 2, i: 16, time: 9.377166986465454}, IS_SORTED: true
BST search avg time: series 2, i: 16, time: 0.009377166986465454}, IS_SORTED: true
AVL search total time: series 2, i: 17, time: 0.12041699886322021}, IS_SORTED: true
AVL search avg time: series 2, i: 17, time: 0.00012041699886322021}, IS_SORTED: true
BST search total time: series 2, i: 17, time: 9.550832986831665}, IS_SORTED: true
BST search avg time: series 2, i: 17, time: 0.009550832986831665}, IS_SORTED: true
AVL search total time: series 2, i: 18, time: 0.12087500095367432}, IS_SORTED: true
AVL search avg time: series 2, i: 18, time: 0.00012087500095367431}, IS_SORTED: true
BST search total time: series 2, i: 18, time: 9.530000030994415}, IS_SORTED: true
BST search avg time: series 2, i: 18, time: 0.009530000030994416}, IS_SORTED: true
AVL search total time: series 2, i: 19, time: 0.11945796012878418}, IS_SORTED: true
AVL search avg time: series 2, i: 19, time: 0.00011945796012878418}, IS_SORTED: true
BST search total time: series 2, i: 19, time: 9.855624973773956}, IS_SORTED: true
BST search avg time: series 2, i: 19, time: 0.009855624973773956}, IS_SORTED: true
AVL delete total time: series 2, i: 0, time: 0.8262079954147339}, IS_SORTED: false 
